"";"ccode2";"year";"month";"varmag";"sdmag";"memag";"EthAl";"date"
"179";94;1978;2;NA;NA;NA;".2368";"1993"
"180";94;1970;2;NA;NA;NA;".2368";"1993"
"181";94;1974;2;NA;NA;NA;".2368";"1993"
"182";94;1986;2;NA;NA;NA;".2368";"1993"
"183";94;1982;2;NA;NA;NA;".2368";"1993"
"184";94;2014;2;28,1428571428571;5,30498417932204;8,14285714285714;".2368";"1993"
"185";94;1953;7;NA;NA;NA;".2368";"1993"
"186";94;1994;2;NA;NA;NA;".2368";"1993"
"187";94;1998;2;NA;NA;NA;".2368";"1993"
"188";94;1966;2;NA;NA;NA;".2368";"1993"
"189";94;1958;2;NA;NA;NA;".2368";"1993"
"190";94;1962;2;NA;NA;NA;".2368";"1993"
"191";94;2010;2;32,8095238095238;5,72795982960109;8,14285714285714;".2368";"1993"
"192";94;2006;2;NA;NA;NA;".2368";"1993"
"193";94;2002;2;NA;NA;NA;".2368";"1993"
"194";94;1990;2;NA;NA;NA;".2368";"1993"
"195";100;2006;3;15,6806722689076;3,95988286050328;4,71428571428571;".6014";"1985"
"196";100;1998;3;NA;NA;NA;".6014";"1985"
"197";100;2002;3;15,6084033613445;3,95074719025965;4,74285714285714;".6014";"1985"
"198";100;2010;3;16,3598484848485;4,04473095333281;4,78787878787879;".6014";"1985"
"199";100;2014;3;15,5587301587302;3,9444556226088;4,61111111111111;".6014";"1985"
"200";101;2010;9;0,391010712622264;0,625308493962991;1,44736842105263;".4966";"1993"
"201";110;2001;3;NA;NA;NA;".6194979999999999";"1993"
"202";110;1997;12;NA;NA;NA;".6194979999999999";"1993"
"203";110;2011;11;2,94444444444444;1,71593835683117;2,5;".6194979999999999";"1993"
"204";110;1961;8;NA;NA;NA;".6194979999999999";"1993"
"205";110;1953;4;NA;NA;NA;".6194979999999999";"1993"
"206";110;2015;5;2,94444444444444;1,71593835683117;2,5;".6194979999999999";"1993"
"207";110;2006;8;NA;NA;NA;".6194979999999999";"1993"
"208";110;1957;8;NA;NA;NA;".6194979999999999";"1993"
"209";115;2005;5;NA;NA;NA;".7332";"2001"
"210";115;2010;5;NA;NA;NA;".7332";"2001"
"211";115;2000;5;NA;NA;NA;".7332";"2001"
"212";115;2015;5;19,4333333333333;4,40832545682976;5,1;".7332";"2001"
"213";130;2013;2;5,13949579831933;2,26704561011007;3,91428571428571;".655";"1989"
"214";130;2006;10;NA;NA;NA;".655";"1989"
"215";130;1992;5;NA;NA;NA;".655";"1989"
"216";130;2009;4;15,2910052910053;3,91037150294001;4,42857142857143;".655";"1989"
"217";130;1984;1;NA;NA;NA;".655";"1989"
"218";130;1996;5;NA;NA;NA;".655";"1989"
"219";130;1988;1;NA;NA;NA;".655";"1989"
"220";130;1990;6;NA;NA;NA;".655";"1989"
"221";130;1998;5;NA;NA;NA;".655";"1989"
"222";130;1979;4;NA;NA;NA;".655";"1989"
