"";"country.x";"year";"month";"elec_id";"enep";"seats";"memag";"varmag";"EthAl";"uppertier";"upperseats";"logenep";"logseats";"logmemag";"logvarmag";"logethal";"loguppertier";"logupperseats"
"46";"Australia";1966;11;"L-AUL-1966-11-26";2,98;124;1;0;0,0929019999999999;0;0;1,38128181929635;4,8283137373023;0,693147180559945;0;0,0888365436924112;0;0
"47";"Australia";1969;10;"L-AUL-1969-10-25";2,83;125;1;0;0,0929019999999999;0;0;1,34286480319255;4,83628190695148;0,693147180559945;0;0,0888365436924112;0;0
"48";"Australia";1993;3;"L-AUL-1993-3-13";2,87;147;1;0;0,0929019999999999;0;0;1,35325450704169;4,99721227376411;0,693147180559945;0;0,0888365436924112;0;0
"49";"Australia";1963;11;"L-AUL-1963-11-30";2,79;122;1;0;0,0929019999999999;0;0;1,33236601909433;4,81218435537242;0,693147180559945;0;0,0888365436924112;0;0
"50";"Australia";2013;9;"L-AUL-2013-9-7";3,00836;150;1;0;0,0929019999999999;NA;0;1,38838218010824;5,01727983681492;0,693147180559945;0;0,0888365436924112;NA;0
"51";"Australia";2016;7;"L-AUL-2016-7-2";3,214969;150;1;0;0,0929019999999999;NA;0;1,43864223674113;5,01727983681492;0,693147180559945;0;0,0888365436924112;NA;0
"52";"Australia";1998;10;"L-AUL-1998-10-3";3,46;148;1;0;0,0929019999999999;0;0;1,49514876603197;5,00394630594546;0,693147180559945;0;0,0888365436924112;0;0
"53";"Australia";1972;12;"L-AUL-1972-12-2";2,77;125;1;0;0,0929019999999999;0;0;1,32707500145992;4,83628190695148;0,693147180559945;0;0,0888365436924112;0;0
"54";"Australia";1974;5;"L-AUL-1974-5-18";2,66;127;1;0;0,0929019999999999;0;0;1,29746314741327;4,85203026391962;0,693147180559945;0;0,0888365436924112;0;0
"55";"Australia";1996;3;"L-AUL-1996-3-2";3,19;148;1;0;0,0929019999999999;0;0;1,43270073393405;5,00394630594546;0,693147180559945;0;0,0888365436924112;0;0
"56";"Australia";2001;11;"L-AUL-2001-11-10";3,44;150;1;0;0,0929019999999999;0;0;1,49065437644413;5,01727983681492;0,693147180559945;0;0,0888365436924112;0;0
"57";"Australia";2010;8;"L-AUL-2010-8-21";2,86;150;1;0;0,0929019999999999;0;0;1,35066718347674;5,01727983681492;0,693147180559945;0;0,0888365436924112;0;0
"58";"Australia";2007;11;"L-AUL-2007-11-24";3,03;150;1;0;0,0929019999999999;0;0;1,39376637595859;5,01727983681492;0,693147180559945;0;0,0888365436924112;0;0
"59";"Austria";1956;5;"L-AUS-1956-5-13";2,48;165;NA;NA;0,106776182310413;10,91;18;1,24703229378638;5,11198778835654;NA;NA;0,101451449283125;2,47737838336721;2,94443897916644
"60";"Austria";1959;5;"L-AUS-1959-5-10";2,48;165;NA;NA;0,106776182310413;12,12;20;1,24703229378638;5,11198778835654;NA;NA;0,101451449283125;2,57413778351594;3,04452243772342
"61";"Austria";1953;2;"L-AUS-1953-2-22";2,76;165;NA;NA;0,106776182310413;14,55;24;1,3244189574018;5,11198778835654;NA;NA;0,101451449283125;2,74406063862524;3,2188758248682
"62";"Austria";1983;4;"L-AUS-1983-4-24";2,4;183;NA;NA;0,106776182310413;10,38;19;1,22377543162212;5,21493575760899;NA;NA;0,101451449283125;2,43185742869818;2,99573227355399
"63";"Austria";1986;11;"L-AUS-1986-11-23";2,72;183;NA;NA;0,106776182310413;11,48;21;1,31372366828506;5,21493575760899;NA;NA;0,101451449283125;2,52412736294128;3,09104245335832
"64";"Austria";1949;10;"L-AUS-1949-10-9";2,78;165;NA;NA;0,106776182310413;12,73;21;1,3297240096315;5,11198778835654;NA;NA;0,101451449283125;2,61958321977988;3,09104245335832
"65";"Austria";1979;5;"L-AUS-1979-5-6";2,28;183;NA;NA;0,106776182310413;7,65;14;1,18784342239605;5,21493575760899;NA;NA;0,101451449283125;2,15755932094379;2,70805020110221
"66";"Austria";1995;12;"L-AUS-1995-12-17";3,59;183;NA;NA;0,106776182310413;46,99;86;1,52388002407245;5,21493575760899;NA;NA;0,101451449283125;3,87099265587015;4,46590811865458
"67";"Austria";1999;10;"L-AUS-1999-10-3";3,82;183;NA;NA;0,106776182310413;45,9;84;1,57277392806251;5,21493575760899;NA;NA;0,101451449283125;3,84801767545223;4,44265125649032
"68";"Austria";1990;10;"L-AUS-1990-10-7";3,17;183;NA;NA;0,106776182310413;13,66;25;1,42791603581071;5,21493575760899;NA;NA;0,101451449283125;2,68512269645851;3,25809653802148
"69";"Austria";1994;10;"L-AUS-1994-10-9";3,87;183;NA;NA;0,106776182310413;50,27;92;1,5830939370945;5,21493575760899;NA;NA;0,101451449283125;3,93710578579561;4,53259949315326
"70";"Austria";1966;3;"L-AUS-1966-3-6";2,39;165;NA;NA;0,106776182310413;8,48;14;1,22082992139236;5,11198778835654;NA;NA;0,101451449283125;2,24918431626693;2,70805020110221
"71";"Austria";1970;3;"L-AUS-1970-3-1";2,29;165;NA;NA;0,106776182310413;8,48;14;1,19088756477728;5,11198778835654;NA;NA;0,101451449283125;2,24918431626693;2,70805020110221
"72";"Austria";2002;11;"L-AUS-2002-11-24";3,02;183;NA;NA;0,106776182310413;42,62;78;1,39128190263093;5,21493575760899;NA;NA;0,101451449283125;3,77551576077348;4,36944785246702
"73";"Austria";1962;11;"L-AUS-1962-11-18";2,47;165;NA;NA;0,106776182310413;10,3;17;1,24415459395877;5,11198778835654;NA;NA;0,101451449283125;2,42480272571829;2,89037175789616
"74";"Austria";1975;10;"L-AUS-1975-10-5";2,27;183;NA;NA;0,106776182310413;6,56;12;1,18478998490916;5,21493575760899;NA;NA;0,101451449283125;2,02287119019144;2,56494935746154
"75";"Austria";2006;10;"L-AUS-2006-10-1";3,71;183;NA;NA;0,106776182310413;54,1;99;1,54968790802833;5,21493575760899;NA;NA;0,101451449283125;4,00914971615887;4,60517018598809
"76";"Austria";2008;9;"L-AUS-2008-9-28";4,79;183;NA;NA;0,106776182310413;60,66;111;1,7561322915849;5,21493575760899;NA;NA;0,101451449283125;4,121635422458;4,71849887129509
"77";"Austria";1971;10;"L-AUS-1971-10-10";2,28;183;NA;NA;0,106776182310413;8,74;16;1,18784342239605;5,21493575760899;NA;NA;0,101451449283125;2,27624111765444;2,83321334405622
"78";"Austria";2013;9;"L-AUS-2013-9-29";5,149357;183;NA;NA;0,106776182310413;66,12022;121;1,81634752350687;5,21493575760899;NA;NA;0,101451449283125;4,20648533986514;4,80402104473326
"79";"Bahamas";2012;5;"L-BHM-2012-5-7";2,418103;38;1;0;0,422845142439737;NA;0;1,22908571882099;3,66356164612965;0,693147180559945;0;0,35265848847733;NA;0
"80";"Bahamas";2007;5;"L-BHM-2007-5-2";2,13;41;1;0;0,422845142439737;0;0;1,14103300455206;3,73766961828337;0,693147180559945;0;0,35265848847733;0;0
"81";"Bahamas";2002;5;"L-BHM-2002-5-2";2,3;40;1;0;0,422845142439737;0;0;1,19392246847243;3,71357206670431;0,693147180559945;0;0,35265848847733;0;0
"82";"Bahamas";1997;3;"L-BHM-1997-3-14";NA;40;1;0;0,422845142439737;0;0;NA;3,71357206670431;0,693147180559945;0;0,35265848847733;0;0
"83";"Bangladesh";1991;2;"L-BNG-1991-2-27";4,61;300;1;0;0,045434;0;0;1,72455071953461;5,70711026474888;0,693147180559945;0;0,0444321102038143;0;0
"84";"Bangladesh";1996;6;"L-BNG-1996-6-12";NA;300;1;0;0,045434;0;0;NA;5,70711026474888;0,693147180559945;0;0,0444321102038143;0;0
"85";"Bangladesh";2001;10;"L-BNG-2001-10-1";2,83;300;1;0;0,045434;0;0;1,34286480319255;5,70711026474888;0,693147180559945;0;0,0444321102038143;0;0
"86";"Bangladesh";2008;12;"L-BNG-2008-12-29";2,78;300;1;0;0,045434;0;0;1,3297240096315;5,70711026474888;0,693147180559945;0;0,0444321102038143;0;0
"87";"Armenia";2012;5;"L-ARM-2012-5-6";3,336536;131;3,11904761904762;188,595238095238;0,127154;68,70229;90;1,46707587273365;4,88280192258637;1,41562197621441;5,24489147397408;0,119695871685163;4,24423317232002;4,51085950651685
"88";"Armenia";2007;5;"L-ARM-2007-5-12";5,26;131;3,11904761904762;188,595238095238;0,127154;68,7;90;1,83418018511201;4,88280192258637;1,41562197621441;5,24489147397408;0,119695871685163;4,24420031776648;4,51085950651685
"89";"Barbados";1966;11;"L-BAR-1966-11-3";2,72;24;2;0;0,142342;0;0;1,31372366828506;3,2188758248682;1,09861228866811;0;0,133080541006204;0;0
"90";"Barbados";1971;9;"L-BAR-1971-9-9";1,96;24;1;0;0,142342;0;0;1,08518926833597;3,2188758248682;0,693147180559945;0;0,133080541006204;0;0
"91";"Barbados";1976;9;"L-BAR-1976-9-2";2,03;24;1;0;0,142342;0;0;1,10856261952128;3,2188758248682;0,693147180559945;0;0,133080541006204;0;0
"92";"Barbados";1986;5;"L-BAR-1986-5-28";1,93;27;1;0;0,142342;0;0;1,07500242302898;3,3322045101752;0,693147180559945;0;0,133080541006204;0;0
"93";"Barbados";1991;1;"L-BAR-1991-1-22";2,29;28;1;0;0,142342;0;0;1,19088756477728;3,36729582998647;0,693147180559945;0;0,133080541006204;0;0
"94";"Barbados";1994;9;"L-BAR-1994-9-6";2,48;28;1;0;0,142342;0;0;1,24703229378638;3,36729582998647;0,693147180559945;0;0,133080541006204;0;0
"95";"Barbados";1981;6;"L-BAR-1981-6-18";2,02;27;1;0;0,142342;0;0;1,10525683138678;3,3322045101752;0,693147180559945;0;0,133080541006204;0;0
"96";"Barbados";1999;1;"L-BAR-1999-1-20";1,84;28;1;0;0,142342;0;0;1,04380405217311;3,36729582998647;0,693147180559945;0;0,133080541006204;0;0
"97";"Barbados";2003;5;"L-BAR-2003-5-21";1,98;30;1;0;0,142342;0;0;1,09192330051731;3,43398720448515;0,693147180559945;0;0,133080541006204;0;0
"98";"Barbados";2008;1;"L-BAR-2008-1-15";2;30;1;0;0,142342;0;0;1,09861228866811;3,43398720448515;0,693147180559945;0;0,133080541006204;0;0
"99";"Barbados";2013;2;"L-BAR-2013-2-21";2,014317;30;1;0;0,142342;NA;0;1,10337327051976;3,43398720448515;0,693147180559945;0;0,133080541006204;NA;0
"100";"Belgium";1949;6;"L-BEL-1949-6-29";3,26;212;NA;NA;0,5554;NA;NA;1,44926916028128;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"101";"Belgium";1950;6;"L-BEL-1950-6-4";2,76;212;NA;NA;0,5554;NA;NA;1,3244189574018;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"102";"Belgium";1954;4;"L-BEL-1954-4-11";3,08;212;NA;NA;0,5554;NA;NA;1,40609698841607;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"103";"Belgium";1958;6;"L-BEL-1958-6-1";2,79;212;NA;NA;0,5554;NA;NA;1,33236601909433;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"104";"Belgium";1961;3;"L-BEL-1961-3-26";3,08;212;NA;NA;0,5554;NA;NA;1,40609698841607;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"105";"Belgium";1965;5;"L-BEL-1965-5-23";3,96;212;NA;NA;0,5554;NA;NA;1,60140574073684;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"106";"Belgium";1968;3;"L-BEL-1968-3-31";6,92;212;NA;NA;0,5554;NA;NA;2,06939120582633;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"107";"Belgium";1971;11;"L-BEL-1971-11-7";6,41;212;NA;NA;0,5554;NA;NA;2,002830439308;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"108";"Belgium";1974;3;"L-BEL-1974-3-10";6,1;212;NA;NA;0,5554;NA;NA;1,96009478404727;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"109";"Belgium";1987;12;"L-BEL-1987-12-13";8,12;212;NA;NA;0,5554;NA;NA;2,21046980408624;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"110";"Belgium";1991;11;"L-BEL-1991-11-24";9,81;212;NA;NA;0,5554;NA;NA;2,38047163165112;5,36129216570943;NA;NA;0,441732747278706;NA;NA
"111";"Belgium";1995;5;"L-BEL-1995-5-21";9,35;150;NA;NA;0,5554;NA;NA;2,33698651971138;5,01727983681492;NA;NA;0,441732747278706;NA;NA
"112";"Belgium";1999;6;"L-BEL-1999-6-13";10,29;150;NA;NA;0,5554;NA;NA;2,42391737816157;5,01727983681492;NA;NA;0,441732747278706;NA;NA
"113";"Belgium";2003;5;"L-BEL-2003-5-18";8,84;150;NA;NA;0,5554;0;0;2,28645571106416;5,01727983681492;NA;NA;0,441732747278706;0;0
