"";"country";"date";"EthAl";"scode";"sname";"UN";"cow"
"132";"Mongolia";"1989";".3682240000000003";712;"Mongolia";496;712
"133";"Morocco";"1994";".4840571792459799";600;"Morocco";504;600
"134";"Mozambique";"1983";".6932160000000001";541;"Mozambique";508;541
"135";"Myanmar (Burma)";"1983";".5061860000000001";775;"Myanmar (Burma)";104;775
"136";"Namibia";"1995";".6329039999999999";565;"Namibia";516;565
"137";"Nauru";"1995";".5831999999999999";970;"Nauru";520;970
"138";"Nepal";"1991";".663222";790;"Nepal";524;790
"139";"Netherlands Antilles";".";".";.;"Netherlands Antilles";.;.
"140";"Netherlands";"1995";".1053722903125876";210;"Netherlands";528;210
"141";"New Caledonia";".";".";.;"New Caledonia";540;.
"142";"New Zealand";"1996";".39685";920;"New Zealand";554;920
"143";"Nicaragua";"1991";".4844000000000002";93;"Nicaragua";558;93
"144";"Niger";"1988";".651762";436;"Niger";562;436
"145";"Nigeria";"1983";".85046";475;"Nigeria";566;475
"146";"Northern Mariana Islands";".";".";.;"Northern Mariana Islands";580;.
"147";"Norway";"1998";".0586";385;"Norway";578;385
"148";"Oman";"1993";".4372560000000001";698;"Oman";512;698
"149";"Pakistan";"1995";".7097999999999999";770;"Pakistan";586;770
"150";"Palau";"2000";".4312000000000001";986;"Palau";585;986
"151";"Panama";"1992";".5528";95;"Panama";591;95
"152";"Papua New Guinea";"1993";".2718000000000002";910;"Papua New Guinea";598;910
"153";"Paraguay";"1998";".1688999999999999";150;"Paraguay";600;150
"154";"Peru";"1981";".656577";135;"Peru";604;135
"155";"Philippines";"1998";".2385407321970182";840;"Philippines";608;840
"156";"Poland";"1998";".1183395341893348";290;"Poland";616;290
"157";"Portugal";"1998";".0467573696145123";235;"Portugal";620;235
"158";"Puerto Rico";".";".";.;"Puerto Rico";630;.
"159";"Qatar";"2001";".7456";694;"Qatar";634;694
"160";"Reunion";".";".";.;"Reunion";638;.
"161";"Romania";"1998";".3068702570167496";360;"Romania";642;360
"162";"Russian Federation";"1997";".24517";365;"Russian Federation";643;365
"163";"Rwanda";"1996";".3237999999999999";517;"Rwanda";646;517
"164";"Saint Lucia";"1990";".1768620000000001";.;"Saint Lucia";662;56
"165";"Saint Vincent and Grenadines";"1995";".306598";.;"Saint Vincent and Grenadines";670;57
"166";"Western Samoa";"1995";".1376080000000001";.;"Western Samoa";882;990
"167";"San Marino";"1997";".2927350000000001";331;"San Marino";674;331
"168";"Sao Tome and Principe";".";".";403;"Sao Tome and Principe";678;403
