"";"clea.yr";"varmag";"sdmag";"memag";"UN";"country"
"177";1962;NA;NA;NA;188;"Costa Rica"
"178";1962;NA;NA;NA;214;"Dominican Republic"
"179";1962;NA;NA;NA;234;"Faroe Islands"
"180";1962;NA;NA;NA;246;"Finland"
"181";1962;0;0;1;308;"Grenada"
"182";1962;0;0;1;356;"India"
"183";1962;0;0;1;388;"Jamaica"
"184";1962;NA;NA;NA;40;"Austria"
"185";1962;NA;NA;NA;438;"Liechtenstein"
"186";1962;0;0;5;470;"Malta"
"187";1962;NA;NA;NA;76;"Brazil"
"188";1962;NA;NA;NA;840;"US"
"189";1962;NA;NA;NA;858;"Uruguay"
"190";1963;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"191";1963;NA;NA;NA;300;"Greece"
"192";1963;NA;NA;NA;352;"Iceland"
"193";1963;0;0;1;36;"Australia"
"194";1963;NA;NA;NA;380;"Italy"
"195";1963;0,741778936694191;0,861265891983533;3,95762711864407;392;"Japan"
"196";1963;0;0;1;404;"Kenya"
"197";1963;0;0;1;410;"Korea"
"198";1963;0;0;5;414;"Kuwait"
"199";1963;NA;NA;NA;528;"Netherlands"
"200";1963;0;0;1;554;"New Zealand"
"201";1963;0;0;2;60;"Bermuda"
"202";1963;19,9710144927536;4,46889410176093;5,83333333333333;604;"Peru"
"203";1963;0;0;1;702;"Singapore"
"204";1963;NA;NA;NA;756;"Switzerland"
"205";1964;NA;NA;NA;208;"Denmark"
"206";1964;NA;NA;NA;300;"Greece"
"207";1964;62;7,87400787401181;14;442;"Luxembourg"
"208";1964;0;0;1;458;"Malaysia"
"209";1964;0;0;1;662;"Saint Lucia"
"210";1964;NA;NA;NA;752;"Sweden"
"211";1964;0;0;1;826;"UK"
"212";1964;NA;NA;NA;840;"US"
"213";1964;0;0;1;894;"Zambia"
"214";1965;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"215";1965;0;0;1;144;"Sri Lanka"
"216";1965;0;0;1;276;"Germany"
"217";1965;0;0;1;28;"Antigua and Barbuda"
"218";1965;NA;NA;NA;372;"Ireland"
"219";1965;NA;NA;120;376;"Israel"
"220";1965;0;0;1;426;"Lesotho"
"221";1965;NA;NA;NA;56;"Belgium"
"222";1965;NA;NA;NA;578;"Norway"
"223";1965;0;0;1;608;"Philippines"
"224";1965;0;0;1;72;"Botswana"
"225";1965;NA;NA;NA;792;"Turkey"
"226";1965;0;0;1;84;"Belize"
"227";1966;NA;NA;NA;188;"Costa Rica"
"228";1966;NA;NA;NA;208;"Denmark"
"229";1966;NA;NA;NA;214;"Dominican Republic"
"230";1966;NA;NA;NA;234;"Faroe Islands"
"231";1966;NA;NA;NA;246;"Finland"
"232";1966;0;0;1;36;"Australia"
"233";1966;NA;NA;NA;40;"Austria"
"234";1966;NA;NA;NA;438;"Liechtenstein"
"235";1966;0;0;5;470;"Malta"
"236";1966;0;0;2;52;"Barbados"
"237";1966;0;0;1;554;"New Zealand"
"238";1966;0;0;1;659;"Saint Kitts and Nevis"
"239";1966;0;0;1;670;"St. Vincent and the Grenadines"
"240";1966;NA;NA;NA;76;"Brazil"
"241";1966;0;0;1;780;"Trinidad and Tobago"
"242";1966;0;0;1;826;"UK"
"243";1966;NA;NA;NA;840;"US"
"244";1966;NA;NA;NA;858;"Uruguay"
"245";1967;0;0;1;308;"Grenada"
"246";1967;NA;NA;NA;352;"Iceland"
"247";1967;0;0;1;356;"India"
"248";1967;0;0;1;388;"Jamaica"
"249";1967;0,751699320271891;0,867005951693465;3,95121951219512;392;"Japan"
"250";1967;0;0;1;410;"Korea"
"251";1967;0;0;5;414;"Kuwait"
"252";1967;0,0476190476190476;0,218217890235992;2,95238095238095;480;"Mauritius"
"253";1967;NA;NA;NA;528;"Netherlands"
"254";1967;0;0;1;670;"St. Vincent and the Grenadines"
"255";1967;NA;NA;NA;756;"Switzerland"
"256";1967;0;0;1;90;"Solomon Islands"
"257";1968;0;0;1;124;"Canada"
"258";1968;NA;NA;NA;208;"Denmark"
"259";1968;NA;NA;NA;380;"Italy"
"260";1968;62;7,87400787401181;14;442;"Luxembourg"
"261";1968;NA;NA;NA;56;"Belgium"
"262";1968;0;0;1;702;"Singapore"
"263";1968;NA;NA;NA;752;"Sweden"
"264";1968;NA;NA;NA;840;"US"
"265";1968;0;0;1;894;"Zambia"
"266";1969;0;0;1;276;"Germany"
"267";1969;0;0;1;36;"Australia"
"268";1969;NA;NA;NA;372;"Ireland"
"269";1969;NA;NA;120;376;"Israel"
"270";1969;0,751699320271891;0,867005951693465;3,95121951219512;392;"Japan"
"271";1969;0;0;1;458;"Malaysia"
"272";1969;0;0;1;554;"New Zealand"
"273";1969;NA;NA;NA;578;"Norway"
"274";1969;0;0;1;608;"Philippines"
"275";1969;0;0;1;662;"Saint Lucia"
"276";1969;0;0;1;72;"Botswana"
"277";1969;NA;NA;NA;764;"Thailand"
"278";1969;NA;NA;NA;792;"Turkey"
"279";1969;0;0;1;84;"Belize"
"280";1970;0;0;1;144;"Sri Lanka"
"281";1970;NA;NA;NA;188;"Costa Rica"
"282";1970;NA;NA;NA;214;"Dominican Republic"
"283";1970;NA;NA;NA;234;"Faroe Islands"
"284";1970;NA;NA;NA;246;"Finland"
"285";1970;NA;NA;NA;40;"Austria"
"286";1970;0;0;1;426;"Lesotho"
"287";1970;NA;NA;NA;438;"Liechtenstein"
"288";1970;NA;NA;NA;752;"Sweden"
"289";1970;NA;NA;NA;76;"Brazil"
"290";1970;0;0;1;826;"UK"
"291";1970;NA;NA;NA;840;"US"
"292";1970;0;0;1;90;"Solomon Islands"
"293";1971;NA;NA;NA;208;"Denmark"
"294";1971;0;0;1;28;"Antigua and Barbuda"
"295";1971;NA;NA;NA;352;"Iceland"
"296";1971;0;0;1;356;"India"
"297";1971;NA;NA;NA;40;"Austria"
"298";1971;0;0;1;410;"Korea"
"299";1971;0;0;5;414;"Kuwait"
"300";1971;0,277777777777778;0,52704627669473;5,5;470;"Malta"
"301";1971;0;0;1;52;"Barbados"
"302";1971;NA;NA;NA;528;"Netherlands"
"303";1971;NA;NA;NA;56;"Belgium"
"304";1971;0;0;1;659;"Saint Kitts and Nevis"
"305";1971;NA;NA;NA;756;"Switzerland"
"306";1971;0;0;1;780;"Trinidad and Tobago"
"307";1971;NA;NA;NA;858;"Uruguay"
"308";1972;0;0;1;124;"Canada"
"309";1972;NA;NA;NA;246;"Finland"
"310";1972;0;0;1;276;"Germany"
"311";1972;0;0;1;308;"Grenada"
"312";1972;0;0;1;36;"Australia"
"313";1972;NA;NA;NA;380;"Italy"
"314";1972;0;0;1;388;"Jamaica"
"315";1972;0,754458431681091;0,868595666395528;3,95967741935484;392;"Japan"
"316";1972;NA;NA;NA;528;"Netherlands"
"317";1972;0;0;1;554;"New Zealand"
"318";1972;0;0;2;60;"Bermuda"
"319";1972;0;0;1;670;"St. Vincent and the Grenadines"
"320";1972;0;0;1;702;"Singapore"
"321";1972;NA;NA;NA;840;"US"
"322";1973;NA;NA;NA;208;"Denmark"
"323";1973;0;0;1;250;"France"
"324";1973;NA;NA;NA;372;"Ireland"
"325";1973;NA;NA;120;376;"Israel"
"326";1973;0;0;2;410;"Korea"
"327";1973;0;0;1;50;"Bangladesh"
